title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 3,radio,F3 Bab 3,A,B,C,D,C,Inovasi/Picture23.png
,radio,F3 Bab 3,A,B,C,D,A,Inovasi/Picture24.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasi/Picture25.png
,radio,F3 Bab 3,A,B,C,D,C,Inovasi/Picture26.png
,radio,F3 Bab 3,A,B,C,D,D,Inovasi/Picture27.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasi/Picture28.png
,radio,F3 Bab 3,A,B,C,D,D,Inovasi/Picture29.png
,radio,F3 Bab 3,A,B,C,D,D,Inovasi/Picture30.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasi/Picture31.png
,radio,F3 Bab 3,A,B,C,D,C,Inovasi/Picture32.png
,radio,F3 Bab 3,A,B,C,D,D,Inovasi/Picture33.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasi/Picture34.png
