title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 4,radio,F3 Bab 4,A,B,C,D,A,Inovasi/Picture35.png
,radio,F3 Bab 4,A,B,C,D,C,Inovasi/Picture36.png
,radio,F3 Bab 4,A,B,C,D,B,Inovasi/Picture37.png
,radio,F3 Bab 4,A,B,C,D,B,Inovasi/Picture38.png
,radio,F3 Bab 4,A,B,C,D,B,Inovasi/Picture39.png
,radio,F3 Bab 4,A,B,C,D,B,Inovasi/Picture40.png
,radio,F3 Bab 4,A,B,C,D,D,Inovasi/Picture41.png
,radio,F3 Bab 4,A,B,C,D,A,Inovasi/Picture42.png
,radio,F3 Bab 4,A,B,C,D,A,Inovasi/Picture43.png
,radio,F3 Bab 4,A,B,C,D,C,Inovasi/Picture44.png
