title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 1,radio,F3 Bab 1,A,B,C,D,A,Inovasi/Picture1.png
,radio,F3 Bab 1,A,B,C,D,A,Inovasi/Picture2.png
,radio,F3 Bab 1,A,B,C,D,A,Inovasi/Picture3.png
,radio,F3 Bab 1,A,B,C,D,B,Inovasi/Picture4.png
,radio,F3 Bab 1,A,B,C,D,D,Inovasi/Picture5.png
,radio,F3 Bab 1,A,B,C,D,D,Inovasi/Picture6.png
,radio,F3 Bab 1,A,B,C,D,C,Inovasi/Picture7.png
,radio,F3 Bab 1,A,B,C,D,C,Inovasi/Picture8.png
,radio,F3 Bab 1,A,B,C,D,B,Inovasi/Picture9.png
,radio,F3 Bab 1,A,B,C,D,C,Inovasi/Picture10.png
