title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 5,radio,F3 Bab 5,A,B,C,D,C,Inovasi/Picture45.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasi/Picture46.png
,radio,F3 Bab 5,A,B,C,D,D,Inovasi/Picture47.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasi/Picture48.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasi/Picture49.png
,radio,F3 Bab 5,A,B,C,D,D,Inovasi/Picture50.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasi/Picture51.png
,radio,F3 Bab 5,A,B,C,D,A,Inovasi/Picture52.png
,radio,F3 Bab 5,A,B,C,D,A,Inovasi/Picture53.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasi/Picture54.png
