title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 6,radio,F3 Bab 6,A,B,C,D,D,Inovasi/Picture55.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasi/Picture56.png
,radio,F3 Bab 6,A,B,C,D,D,Inovasi/Picture57.png
,radio,F3 Bab 6,A,B,C,D,D,Inovasi/Picture58.png
,radio,F3 Bab 6,A,B,C,D,C,Inovasi/Picture59.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasi/Picture60.png
,radio,F3 Bab 6,A,B,C,D,C,Inovasi/Picture61.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasi/Picture62.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasi/Picture63.png
,radio,F3 Bab 6,A,B,C,D,B,Inovasi/Picture64.png
