title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 2,radio,F3 Bab 2,A,B,C,D,B,Inovasi/Picture11.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasi/Picture12.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasi/Picture13.png
,radio,F3 Bab 2,A,B,C,D,C,Inovasi/Picture14.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasi/Picture15.png
,radio,F3 Bab 2,A,B,C,D,A,Inovasi/Picture16.png
,radio,F3 Bab 2,A,B,C,D,B,Inovasi/Picture17.png
,radio,F3 Bab 2,A,B,C,D,B,Inovasi/Picture18.png
,radio,F3 Bab 2,A,B,C,D,A,Inovasi/Picture19.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasi/Picture20.png
,radio,F3 Bab 2,A,B,C,D,A,Inovasi/Picture21.png
,radio,F3 Bab 2,A,B,C,D,B,Inovasi/Picture22.png
