title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 8,radio,F3 Bab 8,A,B,C,D,B,Inovasi/Picture80.png
,radio,F3 Bab 8,A,B,C,D,A,Inovasi/Picture81.png
,radio,F3 Bab 8,A,B,C,D,C,Inovasi/Picture82.png
,radio,F3 Bab 8,A,B,C,D,C,Inovasi/Picture83.png
,radio,F3 Bab 8,A,B,C,D,C,Inovasi/Picture84.png
,radio,F3 Bab 8,A,B,C,D,A,Inovasi/Picture85.png
,radio,F3 Bab 8,A,B,C,D,D,Inovasi/Picture86.png
,radio,F3 Bab 8,A,B,C,D,A,Inovasi/Picture87.png
,radio,F3 Bab 8,A,B,C,D,C,Inovasi/Picture88.png
,radio,F3 Bab 8,A,B,C,D,D,Inovasi/Picture89.png
